date,rainfall_mm,temp_max_c,temp_min_c,humidity_pct
2018-01-01,0.0,29.2,26.9,64.7
2018-01-02,0.0,29.0,26.5,68.1
2018-01-03,0.0,29.1,26.6,71.0
2018-01-04,0.0,29.7,25.9,70.3
2018-01-05,0.0,29.1,26.1,69.3
2018-01-06,0.1,28.4,25.5,71.0
2018-01-07,0.1,27.9,25.9,71.8
2018-01-08,0.1,28.9,25.0,66.4
2018-01-09,0.1,29.1,25.3,62.1
2018-01-10,0.4,29.6,26.3,70.2
2018-01-11,0.1,30.3,26.0,71.9
2018-01-12,0.1,29.4,26.5,73.9
2018-01-13,0.0,30.4,26.4,69.3
2018-01-14,0.0,31.3,25.8,57.1
2018-01-15,0.0,30.9,23.5,65.5
2018-01-16,0.0,30.8,25.7,64.8
2018-01-17,0.0,29.6,26.0,71.2
2018-01-18,0.0,30.6,25.7,62.6
2018-01-19,0.0,29.5,25.3,62.8
2018-01-20,0.0,29.6,25.0,63.6
2018-01-21,0.0,29.4,25.7,65.1
2018-01-22,0.0,29.2,25.4,67.2
2018-01-23,0.0,29.5,25.8,68.1
2018-01-24,0.0,29.3,26.1,71.7
2018-01-25,0.5,29.5,26.3,71.4
2018-01-26,0.3,29.4,26.1,70.6
2018-01-27,0.1,29.6,25.9,71.4
2018-01-28,1.6,27.9,25.4,76.5
2018-01-29,0.1,30.0,26.0,66.5
2018-01-30,0.0,30.3,26.1,64.9
2018-01-31,0.0,31.3,26.6,61.6
2018-02-01,0.0,31.4,25.4,57.9
2018-02-02,0.0,30.9,26.8,60.5
2018-02-03,0.0,30.6,26.4,57.9
2018-02-04,0.0,30.4,25.0,60.3
2018-02-05,0.0,30.9,25.7,64.1
2018-02-06,0.5,31.4,26.8,68.1
2018-02-07,2.0,29.1,27.0,74.6
2018-02-08,2.0,29.7,26.7,71.9
2018-02-09,0.8,29.3,27.2,74.7
2018-02-10,0.4,30.1,27.3,72.8
2018-02-11,0.1,31.5,26.9,62.5
2018-02-12,3.2,28.9,27.1,74.7
2018-02-13,0.2,30.2,26.9,63.7
2018-02-14,0.0,31.3,25.4,62.4
2018-02-15,0.0,31.3,26.4,61.8
2018-02-16,0.0,32.8,26.4,56.8
2018-02-17,0.0,30.3,27.4,64.2
2018-02-18,0.0,31.7,27.3,64.6
2018-02-19,0.0,31.5,27.2,66.1
2018-02-20,0.0,32.1,27.4,62.7
2018-02-21,0.0,32.1,27.1,61.1
2018-02-22,0.0,31.9,27.4,63.4
2018-02-23,0.0,32.4,27.4,59.6
2018-02-24,0.0,33.1,26.7,54.1
2018-02-25,0.0,32.3,27.5,58.8
2018-02-26,0.0,32.5,28.2,59.5
2018-02-27,0.0,33.2,27.8,58.2
2018-02-28,0.6,32.7,28.8,60.5
2018-03-01,0.4,33.7,28.0,59.0
2018-03-02,0.1,33.6,28.4,58.0
2018-03-03,0.1,32.0,28.3,63.9
2018-03-04,0.1,32.6,28.1,66.0
2018-03-05,0.0,32.2,28.2,65.8
2018-03-06,0.1,32.4,28.0,67.4
2018-03-07,0.0,31.7,28.0,67.5
2018-03-08,0.0,32.7,27.7,65.9
2018-03-09,0.0,33.3,28.4,65.9
2018-03-10,0.0,33.8,28.7,60.6
2018-03-11,0.0,33.8,28.6,58.4
2018-03-12,0.3,34.3,29.0,55.9
2018-03-13,8.9,31.7,28.2,64.4
2018-03-14,3.0,32.6,27.6,67.1
2018-03-15,1.4,31.0,27.6,70.7
2018-03-16,0.9,30.7,27.8,74.4
2018-03-17,1.1,31.0,28.1,71.2
2018-03-18,18.8,30.4,28.3,75.1
2018-03-19,4.6,30.8,28.0,77.0
2018-03-20,0.4,31.9,27.6,72.9
2018-03-21,6.0,30.0,27.8,77.9
2018-03-22,1.0,31.1,27.6,73.1
2018-03-23,1.2,31.2,28.0,71.3
2018-03-24,1.1,32.5,27.9,71.5
2018-03-25,0.3,33.0,28.1,69.8
2018-03-26,0.5,32.1,28.3,70.6
2018-03-27,2.1,31.3,27.9,74.6
2018-03-28,3.3,29.9,28.0,78.6
2018-03-29,1.6,29.6,28.0,79.7
2018-03-30,0.4,29.8,28.3,78.0
2018-03-31,0.3,31.6,28.1,72.0
2018-04-01,1.7,30.8,28.3,72.5
2018-04-02,1.0,31.3,28.3,69.4
2018-04-03,0.3,31.5,28.3,69.1
2018-04-04,0.5,31.6,28.2,75.0
2018-04-05,0.3,31.1,27.9,74.4
2018-04-06,0.8,30.8,28.3,73.9
2018-04-07,3.3,32.5,28.3,71.7
2018-04-08,3.5,31.3,28.6,73.2
2018-04-09,5.7,31.9,28.3,71.7
2018-04-10,6.7,32.2,28.1,71.9
2018-04-11,13.0,30.9,28.8,77.0
2018-04-12,5.2,30.4,28.5,78.5
2018-04-13,12.1,30.2,28.2,77.9
2018-04-14,12.9,31.3,28.1,72.4
2018-04-15,4.9,30.7,28.2,75.7
2018-04-16,6.0,31.3,28.8,74.3
2018-04-17,2.3,32.0,28.7,76.6
2018-04-18,4.3,29.8,28.5,82.0
2018-04-19,1.2,29.8,28.4,81.4
2018-04-20,1.8,29.8,28.5,80.4
2018-04-21,3.8,30.8,28.5,77.9
2018-04-22,4.8,29.7,28.5,79.7
2018-04-23,1.0,31.5,28.3,74.9
2018-04-24,3.6,30.2,28.8,79.5
2018-04-25,2.8,30.5,28.6,78.2
2018-04-26,3.2,31.4,28.6,76.0
2018-04-27,5.8,29.9,27.8,80.8
2018-04-28,2.4,30.7,28.7,78.3
2018-04-29,1.3,30.1,28.4,81.1
2018-04-30,2.2,30.5,28.7,80.1
2018-05-01,0.9,31.2,28.1,75.8
2018-05-02,7.7,30.6,28.8,79.3
2018-05-03,8.8,30.7,28.7,79.0
2018-05-04,13.2,32.0,28.1,78.3
2018-05-05,12.3,30.0,28.4,78.4
2018-05-06,5.6,31.0,28.3,77.2
2018-05-07,3.2,29.5,27.8,79.2
2018-05-08,6.4,29.4,28.1,81.5
2018-05-09,14.7,29.6,27.6,78.2
2018-05-10,11.2,29.4,27.2,80.5
2018-05-11,14.3,29.5,27.4,80.2
2018-05-12,15.5,28.6,27.5,83.0
2018-05-13,4.3,29.9,27.5,77.6
2018-05-14,3.0,29.4,27.1,79.0
2018-05-15,5.6,30.5,27.3,78.7
2018-05-16,7.8,28.6,27.2,80.2
2018-05-17,12.8,29.3,27.3,79.4
2018-05-18,3.0,29.5,27.3,77.3
2018-05-19,1.6,30.4,28.1,76.7
2018-05-20,18.3,29.4,27.7,83.2
2018-05-21,6.5,28.7,27.2,80.7
2018-05-22,8.4,30.4,27.8,77.0
2018-05-23,4.0,29.2,28.4,84.3
2018-05-24,17.0,29.8,28.0,84.2
2018-05-25,7.1,28.8,27.3,88.3
2018-05-26,15.8,28.4,27.1,87.1
2018-05-27,14.1,28.9,26.7,86.8
2018-05-28,22.6,28.5,27.4,87.7
2018-05-29,16.2,29.3,27.9,83.8
2018-05-30,4.8,29.4,27.6,81.0
2018-05-31,6.6,29.6,27.6,81.2
2018-06-01,10.0,28.6,27.6,84.6
2018-06-02,7.6,28.6,27.1,87.7
2018-06-03,21.7,28.3,27.3,86.0
2018-06-04,18.6,29.0,27.5,84.3
2018-06-05,7.3,29.2,27.8,82.8
2018-06-06,15.4,29.4,27.4,81.0
2018-06-07,21.8,28.6,27.5,85.3
2018-06-08,24.2,29.1,27.9,86.1
2018-06-09,16.7,29.3,28.1,86.0
2018-06-10,28.8,28.9,27.9,87.8
2018-06-11,17.4,29.5,27.7,83.9
2018-06-12,16.9,28.8,27.6,84.0
2018-06-13,28.0,28.6,27.3,85.3
2018-06-14,20.4,28.7,27.0,83.8
2018-06-15,12.8,28.7,26.9,86.6
2018-06-16,20.6,27.9,26.0,85.3
2018-06-17,9.3,27.9,25.6,84.0
2018-06-18,6.8,28.8,26.6,84.8
2018-06-19,23.9,28.3,26.8,85.2
2018-06-20,50.1,28.1,26.8,88.6
2018-06-21,31.7,28.3,26.8,86.4
2018-06-22,16.7,28.5,26.4,84.8
2018-06-23,3.8,28.5,26.3,85.9
2018-06-24,8.9,28.4,26.6,87.9
2018-06-25,18.1,27.5,25.8,86.7
2018-06-26,13.5,28.7,25.6,86.5
2018-06-27,19.1,28.3,26.8,86.3
2018-06-28,19.5,27.6,26.4,85.4
2018-06-29,13.4,27.0,26.0,83.8
2018-06-30,8.4,27.9,25.7,83.5
2018-07-01,9.3,28.3,25.6,83.6
2018-07-02,13.5,28.3,26.1,84.7
2018-07-03,10.2,27.9,26.5,85.4
2018-07-04,0.8,28.1,26.5,86.3
2018-07-05,4.3,28.2,26.2,86.8
2018-07-06,4.7,28.4,26.4,85.4
2018-07-07,12.6,27.5,26.5,84.0
2018-07-08,18.2,27.8,26.8,85.5
2018-07-09,61.5,27.5,26.5,89.4
2018-07-10,38.7,27.4,26.3,89.2
2018-07-11,41.0,28.0,26.0,85.0
2018-07-12,17.8,27.9,26.1,88.9
2018-07-13,18.7,27.7,26.1,91.0
2018-07-14,21.1,27.3,26.0,91.3
2018-07-15,97.1,27.0,25.9,93.0
2018-07-16,49.9,27.0,25.9,89.8
2018-07-17,24.6,27.7,25.8,88.9
2018-07-18,33.2,27.0,25.7,90.1
2018-07-19,28.1,26.7,25.6,91.0
2018-07-20,9.7,27.2,25.7,89.4
2018-07-21,5.3,27.2,25.8,89.7
2018-07-22,5.2,27.6,25.7,90.0
2018-07-23,9.0,27.4,25.8,89.5
