aoi_id,region_id,lat,lon,label,rule_label,d_ndwi,d_ndvi,d_nbr,d_ndbi,d_ndwi_std,d_ndvi_std,before_ndvi,before_ndwi,before_ndbi,area_km2,compactness,elongation,rectangularity,solidity
kerala_flood_2018,kerala_flood_2018_0000,9.47107,76.42124,flood,flood,0.736511,-0.730475,-0.006847,0.006847,0.317827,0.344585,0.72514,-0.634759,-0.374348,6.262,0.1797,1.3647,0.7165,0.9152
kerala_flood_2018,kerala_flood_2018_0001,9.51045,76.42995,flood,flood,0.495428,-0.433753,-0.122047,0.122047,0.276268,0.273208,0.780274,-0.68454,-0.429369,3.51,0.0963,1.7567,0.5534,0.6826
kerala_flood_2018,kerala_flood_2018_0002,9.48577,76.43293,flood,flood,0.961489,-0.908032,-0.03049,0.03049,0.349027,0.35807,0.708815,-0.617775,-0.287816,3.031,0.1416,1.3337,0.6897,0.902
kerala_flood_2018,kerala_flood_2018_0003,9.55221,76.41338,flood,flood,0.772895,-0.670083,-0.044688,0.044688,0.260368,0.23224,0.494188,-0.427493,-0.291233,2.977,0.2281,1.0088,0.6937,0.9171
kerala_flood_2018,kerala_flood_2018_0004,9.49457,76.37375,flood,flood,0.700843,-0.654293,0.088294,-0.088294,0.28353,0.261,0.332094,-0.28172,-0.196769,2.392,0.0831,1.0349,0.5989,0.7049
kerala_flood_2018,kerala_flood_2018_0005,9.5148,76.36561,flood,flood,0.486729,-0.389658,0.028235,-0.028235,0.20691,0.157349,0.103285,-0.075016,-0.222501,2.088,0.1145,1.167,0.4872,0.6995
kerala_flood_2018,kerala_flood_2018_0006,9.56146,76.43492,flood,flood,0.781966,-0.755891,-0.161675,0.161675,0.359276,0.367399,0.620392,-0.524445,-0.402653,1.862,0.2092,1.2915,0.5756,0.7761
kerala_flood_2018,kerala_flood_2018_0007,9.48462,76.35715,flood,flood,0.511066,-0.356843,0.445972,-0.445972,0.239811,0.26883,0.281972,-0.357259,0.125674,1.655,0.1941,1.1029,0.6255,0.8162
kerala_flood_2018,kerala_flood_2018_0008,9.50869,76.3773,flood,flood,0.626438,-0.50558,-0.007704,0.007704,0.181105,0.162111,0.27105,-0.239105,-0.249208,1.359,0.5926,1.0836,0.7332,0.9641
kerala_flood_2018,kerala_flood_2018_0009,9.46534,76.3713,flood,flood,0.506416,-0.450634,0.249102,-0.249102,0.11147,0.117601,0.321638,-0.304752,-0.115594,1.275,0.1737,1.5996,0.6624,0.82
kerala_flood_2018,kerala_flood_2018_0010,9.5199,76.41151,flood,flood,0.715136,-0.696205,-0.139684,0.139684,0.223236,0.21549,0.506181,-0.363788,-0.343577,1.263,0.1952,1.0726,0.5142,0.628
kerala_flood_2018,kerala_flood_2018_0011,9.47463,76.39116,flood,flood,0.95722,-0.898962,-0.064242,0.064242,0.249184,0.244385,0.785262,-0.686319,-0.353008,0.895,0.15,2.5424,0.6865,0.7903
kerala_flood_2018,kerala_flood_2018_0012,9.46548,76.38277,flood,flood,0.969077,-0.951878,-0.132884,0.132884,0.221114,0.225168,0.795834,-0.700521,-0.382118,0.837,0.2802,1.0003,0.5738,0.7338
kerala_flood_2018,kerala_flood_2018_0013,9.47799,76.3819,flood,flood,0.885156,-0.835303,-0.067627,0.067627,0.249125,0.243855,0.773483,-0.677616,-0.347558,0.836,0.1396,1.2658,0.5168,0.8078
kerala_flood_2018,kerala_flood_2018_0014,9.49081,76.4057,flood,flood,0.690638,-0.571689,0.171394,-0.171394,0.108336,0.101682,0.247488,-0.257363,-0.110923,0.809,0.4529,1.7098,0.7682,0.9114
kerala_flood_2018,kerala_flood_2018_0015,9.63894,76.41217,water_recession,water_recession,-0.372723,0.367904,0.017376,-0.017376,0.236194,0.242399,-0.111992,0.264245,-0.466073,0.754,0.0838,1.1408,0.4488,0.6504
kerala_flood_2018,kerala_flood_2018_0016,9.50453,76.36108,flood,flood,0.636174,-0.451504,0.413675,-0.413675,0.159055,0.160857,0.333473,-0.384467,0.110879,0.745,0.2722,1.1641,0.5146,0.7279
kerala_flood_2018,kerala_flood_2018_0017,9.63076,76.43541,no_change,no_change,0.125971,-0.025344,0.637281,-0.637281,0.112265,0.124632,0.247562,-0.337797,0.218496,0.708,0.8159,1.141,0.7812,0.9941
kerala_flood_2018,kerala_flood_2018_0018,9.49512,76.35787,flood,flood,0.635762,-0.517474,0.194666,-0.194666,0.208847,0.231067,0.374649,-0.404096,-0.011332,0.707,0.1528,1.9226,0.4572,0.6289
kerala_flood_2018,kerala_flood_2018_0019,9.50964,76.43819,flood,flood,0.58421,-0.570531,-0.139636,0.139636,0.241492,0.221551,0.576196,-0.441619,-0.451145,0.652,0.1328,4.1332,0.567,0.7214
kerala_flood_2018,kerala_flood_2018_0020,9.47246,76.39609,flood,flood,0.964267,-0.98284,-0.056297,0.056297,0.230065,0.245092,0.792102,-0.690648,-0.358204,0.647,0.2583,2.4271,0.6234,0.7915
kerala_flood_2018,kerala_flood_2018_0021,9.48658,76.3909,flood,flood,0.621329,-0.526947,0.266447,-0.266447,0.227914,0.228813,0.437851,-0.44105,0.042631,0.54,0.0967,1.0393,0.5133,0.6724
kerala_flood_2018,kerala_flood_2018_0022,9.57188,76.41586,water_recession,water_recession,-0.543968,0.550595,-0.016079,0.016079,0.299187,0.271243,-0.142075,0.302527,-0.47269,0.454,0.1191,1.3843,0.4542,0.6327
kerala_flood_2018,kerala_flood_2018_0023,9.47343,76.36059,flood,flood,0.515194,-0.434284,-0.08191,0.08191,0.130877,0.134487,0.211584,-0.210127,-0.285179,0.447,0.1313,1.364,0.5747,0.7289
kerala_flood_2018,kerala_flood_2018_0024,9.47438,76.37672,flood,flood,0.598262,-0.491667,0.299718,-0.299718,0.143452,0.147352,0.402429,-0.391114,0.042401,0.407,0.2375,1.2503,0.5655,0.7531
kerala_flood_2018,kerala_flood_2018_0025,9.4623,76.35758,flood,flood,0.50668,-0.356864,0.61511,-0.61511,0.085204,0.08177,0.208959,-0.297649,0.224042,0.38,0.6845,1.7165,0.7894,0.9633
kerala_flood_2018,kerala_flood_2018_0026,9.55898,76.42745,flood,flood,0.459754,-0.438344,-0.11954,0.11954,0.203359,0.207953,0.125143,-0.037477,-0.432315,0.349,0.7724,1.2503,0.9119,1.0
kerala_flood_2018,kerala_flood_2018_0027,9.47497,76.35464,flood,flood,0.535896,-0.435202,-0.116121,0.116121,0.095426,0.094808,0.216745,-0.228548,-0.277546,0.332,0.1831,1.2612,0.5722,0.7914
kerala_flood_2018,kerala_flood_2018_0028,9.462,76.38922,flood,flood,0.974145,-1.000749,0.018267,-0.018267,0.222013,0.236474,0.767709,-0.669814,-0.321377,0.331,0.627,1.8264,0.6585,0.9402
kerala_flood_2018,kerala_flood_2018_0029,9.50193,76.38676,flood,flood,0.760524,-0.768148,0.092685,-0.092685,0.30745,0.334695,0.673419,-0.565984,-0.152857,0.33,0.2115,1.662,0.5214,0.7567
kerala_flood_2018,kerala_flood_2018_0030,9.57177,76.43145,flood,flood,0.550271,-0.53036,0.021232,-0.021232,0.200296,0.209463,0.722514,-0.629275,-0.378947,0.279,0.6392,1.1522,0.6886,0.8816
kerala_flood_2018,kerala_flood_2018_0031,9.63766,76.42177,flood,flood,0.521482,-0.517436,0.113224,-0.113224,0.203626,0.219805,0.421739,-0.381506,-0.236288,0.263,0.379,1.2577,0.6582,0.8627
kerala_flood_2018,kerala_flood_2018_0032,9.624,76.43564,flood,flood,0.377015,-0.429231,0.058034,-0.058034,0.129727,0.144913,0.327705,-0.214832,-0.354116,0.221,0.228,1.262,0.5539,0.8174
kerala_flood_2018,kerala_flood_2018_0033,9.58072,76.36902,urban_expansion,urban_expansion,0.141761,-0.124433,-0.356569,0.356569,0.040157,0.055125,-0.116358,0.253884,-0.480714,0.213,0.0906,1.2003,0.5249,0.6362
kerala_flood_2018,kerala_flood_2018_0034,9.59447,76.36626,no_change,flood,0.179971,-0.217846,-0.35275,0.35275,0.157044,0.157074,-0.041132,0.190379,-0.471453,0.208,0.121,2.432,0.3989,0.5912
kerala_flood_2018,kerala_flood_2018_0035,9.52418,76.37629,water_recession,water_recession,-0.374744,0.375508,0.043888,-0.043888,0.098958,0.091024,-0.150503,0.307958,-0.523448,0.205,0.1806,1.7588,0.5446,0.7147
kerala_flood_2018,kerala_flood_2018_0036,9.46825,76.38914,flood,flood,0.299773,-0.310298,-0.25516,0.25516,0.052428,0.056511,0.150309,0.023676,-0.375443,0.205,0.1351,2.023,0.23,0.3556
kerala_flood_2018,kerala_flood_2018_0037,9.57159,76.42635,flood,flood,0.479714,-0.507279,0.095204,-0.095204,0.100732,0.093103,0.712588,-0.613901,-0.400012,0.204,0.6965,1.265,0.6676,0.9139
kerala_flood_2018,kerala_flood_2018_0038,9.65484,76.42953,flood,flood,0.452788,-0.465922,-0.154587,0.154587,0.154528,0.178744,0.401458,-0.316721,-0.384982,0.2,0.1668,1.2539,0.4025,0.5679
kerala_flood_2018,kerala_flood_2018_0039,9.56669,76.42327,flood,flood,0.520397,-0.465703,-0.034398,0.034398,0.209318,0.234325,0.678319,-0.597607,-0.345878,0.198,0.3125,1.3264,0.6949,0.8692
kerala_flood_2018,kerala_flood_2018_0040,9.54087,76.43796,flood,flood,0.317868,-0.240793,-0.143654,0.143654,0.10734,0.118815,0.664421,-0.585039,-0.370646,0.17,0.4115,1.3917,0.6181,0.8191
kerala_flood_2018,kerala_flood_2018_0041,9.51285,76.37188,flood,flood,0.504344,-0.395842,-0.076924,0.076924,0.169353,0.140024,0.178752,-0.137414,-0.348027,0.16,0.4244,1.458,0.703,0.9249
kerala_flood_2018,kerala_flood_2018_0042,9.4621,76.35202,flood,flood,0.582917,-0.389865,0.294251,-0.294251,0.15039,0.144946,0.244139,-0.323014,0.175971,0.154,0.5388,1.3593,0.742,0.9264
kerala_flood_2018,kerala_flood_2018_0043,9.49381,76.38809,flood,flood,0.633897,-0.515325,0.312595,-0.312595,0.168324,0.158469,0.389061,-0.416557,0.099953,0.148,0.4855,1.0848,0.6365,0.8026
kerala_flood_2018,kerala_flood_2018_0044,9.62989,76.41625,water_recession,water_recession,-0.468561,0.457119,0.012326,-0.012326,0.162409,0.162148,-0.17919,0.326993,-0.474567,0.142,0.3481,1.0389,0.5831,0.7563
kerala_flood_2018,kerala_flood_2018_0045,9.47116,76.36816,flood,flood,0.347269,-0.26882,-0.122348,0.122348,0.091149,0.100994,0.170542,-0.155399,-0.461569,0.141,0.2177,1.488,0.5517,0.7097
kerala_flood_2018,kerala_flood_2018_0046,9.46385,76.43577,flood,flood,0.324774,-0.27981,0.059848,-0.059848,0.076669,0.095529,0.819719,-0.727271,-0.394387,0.141,0.4775,1.2448,0.5796,0.8535
kerala_flood_2018,kerala_flood_2018_0047,9.65601,76.43673,flood,flood,0.421016,-0.411184,-0.065049,0.065049,0.136845,0.150136,0.449102,-0.377057,-0.384751,0.138,0.1378,1.0845,0.5071,0.6437
kerala_flood_2018,kerala_flood_2018_0048,9.61649,76.38819,flood,flood,0.251879,-0.231695,-0.189513,0.189513,0.100398,0.107066,-0.029611,0.172496,-0.500655,0.138,0.4277,1.0003,0.7489,0.891
kerala_flood_2018,kerala_flood_2018_0049,9.57311,76.4377,flood,flood,0.26336,-0.211736,-0.105903,0.105903,0.051611,0.075358,0.790129,-0.697172,-0.394935,0.126,0.2863,1.0387,0.5066,0.6264
kerala_flood_2018,kerala_flood_2018_0050,9.55995,76.42144,flood,flood,0.511538,-0.433455,-0.054372,0.054372,0.185739,0.173444,0.310006,-0.207284,-0.350564,0.126,0.4735,1.6311,0.7619,0.9307
kerala_flood_2018,kerala_flood_2018_0051,9.57834,76.42801,flood,flood,0.537659,-0.501711,-0.070168,0.070168,0.183295,0.190414,0.726057,-0.630336,-0.378809,0.123,0.5298,1.1061,0.622,0.8233
kerala_flood_2018,kerala_flood_2018_0052,9.66759,76.43025,flood,flood,0.483036,-0.490271,-0.064248,0.064248,0.153825,0.170014,0.405452,-0.325609,-0.359789,0.121,0.2514,1.4004,0.6137,0.7063
kerala_flood_2018,kerala_flood_2018_0053,9.67322,76.43848,flood,flood,0.365717,-0.374972,0.000956,-0.000956,0.094749,0.108261,0.526443,-0.430116,-0.422301,0.118,0.3863,1.4726,0.6197,0.8363
kerala_flood_2018,kerala_flood_2018_0054,9.49248,76.37937,wildfire_burn,wildfire_burn,0.122007,-0.18128,-0.414228,0.414228,0.02869,0.027562,-0.058684,0.258397,-0.511042,0.117,0.2705,2.5813,0.4883,0.5885
kerala_flood_2018,kerala_flood_2018_0055,9.5628,76.41696,water_recession,water_recession,-0.638895,0.662234,-0.10802,0.10802,0.266726,0.260573,-0.139099,0.288282,-0.48295,0.114,0.4615,2.371,0.6711,0.9285
kerala_flood_2018,kerala_flood_2018_0056,9.4836,76.39869,flood,flood,0.247967,-0.26939,-0.220122,0.220122,0.034489,0.03418,0.017263,0.152675,-0.426828,0.11,0.5445,1.3099,0.6361,0.8366
kerala_flood_2018,kerala_flood_2018_0057,9.51052,76.38319,flood,flood,0.260482,-0.263212,-0.214823,0.214823,0.031954,0.031717,0.030219,0.138455,-0.424534,0.104,0.2674,5.8349,0.6984,0.8939
